users,text
MisterGunt,RT @FOOL_NELSON: @realDonaldTrump was impeached because this email exists. https://t.co/ydbViWAz2x
PoloPersonGwen,RT @dvillella: @realDonaldTrump Biden doesn't need to be rescued from a ramp and can drink water with one hand.  #WaterGait https://t.co/OD…
Blitz1972,@realDonaldTrump Big crowd? VOTE BIDEN
TrumpVirusUS1,@realDonaldTrump https://t.co/wgye01dB3O
number2pencil1,"@realDonaldTrump Prove it. Put up or shut up. Actually, just shut up."
DinaStanfl,"RT @mmpadellan: @realDonaldTrump Voter suppression going on in Georgia, disproportionately affecting people of color -- the SAME people of…"
MAYLAYLA3,"@realDonaldTrump Where is the plan, you keep saying you have a plan but we never hear  what it entails...... my gue… https://t.co/8F7IuRRZSq"
vtchalamet,@realDonaldTrump aren't you like hundred years old
MrTruth04276299,"@realDonaldTrump Vote for Trump so your kids can get shot at school or you can be shot at your workplace, church or… https://t.co/Q5g4k2EgSF"
FabricEtc,@realDonaldTrump @VP @MarkMeadows @senatemajldr @PressSec   Don’t you Folks ever Get tired Of the Constant barrage… https://t.co/sdzIAkj01X
StephanieWhiti5,@realDonaldTrump #COVIDIOTS
DianeBernaerts,@realDonaldTrump https://t.co/FMniaKaSer
Emilykehler3,"@realDonaldTrump You CALLED them SUCKERS &amp; LOSERS, AND YOU EXPECT THEIR VOTES???????????"
meme0508,@realDonaldTrump https://t.co/m3aEWphbpx.YOURS??. https://t.co/qKMCNMaMJK
wallace_gibney,"@realDonaldTrump You mean make it great again because you destroyed it the past, almost, 4 years??  Biden/Harris 2020!!!!"
MadAsHell04,@realDonaldTrump And here is our idiot president encouraging voter tampering.
PoliticalAnt,@realDonaldTrump https://t.co/KjKnmTxIBn
k0nrz,@realDonaldTrump Sounds like a lot of hot air and promises NOT delivered
Ganate_aca,RT @nogg_the: @realDonaldTrump https://t.co/V8IkRWj2BQ
will6848,@realDonaldTrump Lemmings
MusicTramp,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
MichaelPicano,@realDonaldTrump Too late Putin Power-Bottom #TraitorTrump.
TerryFagan7,@realDonaldTrump V.O.T.E. Biden!👍
DanahSwann37055,@realDonaldTrump @OANN @newsmax @cspan Only thing including you and enjoyment will be you losing.
SanderVerboog,"@realDonaldTrump You said that vets are losers and suckers, especially when they are dead."
its_bones_now,@realDonaldTrump you're a piece of shit and I hope you know that
sosa7201,@realDonaldTrump Nobody believes you
brandonboo_ne,RT @AliceBreen2: @realDonaldTrump https://t.co/w5lLaBUorK
askmisspatience,@realDonaldTrump When? 1436 days since election &amp; I'm not finding any evidence of this claim #FakeTrumpNews… https://t.co/KnPTgBJCiN
MelloThomas4,@realDonaldTrump  U have a serious problem cause u know ur not gonna win.  So u call yourself trying to make it har… https://t.co/5tnzgOLyLI
GopResist,@realDonaldTrump Trump once again pushing for Republicans to commit voter fraud while projecting his criminality on… https://t.co/gCupNYFMVC
StoryAvenueLLC,@realDonaldTrump BIDEN LIED! NEW EMAILS JUST RELEASED REVEAL AND PROVE THAT JOE BIDEN LIED WHEN HE SAID HE NEVER ME… https://t.co/jKsuzJLLTU
Cooker187,@realDonaldTrump Shady Pines?
MarciaD84112875,"@realDonaldTrump Yes, Georgia vote Trump the criminal, out of office!!  Donate some time to drive senior citizens a… https://t.co/8fjzZFPOGb"
AndrewSB49,RT @scientificrealm: @realDonaldTrump https://t.co/7nhDzRwJr1
gburn1175,@realDonaldTrump By rigged do you meam Republicans putting out fake ballot boxes in California stupid
Hula22865268,@realDonaldTrump Are you crazy????
Bohica54605623,@realDonaldTrump Yea another trumpvirus super spreader
nesnirp,"@realDonaldTrump Yup, another LIE"
dddale,"RT @AnnieGabstonH: @realDonaldTrump Those long lines, full of Democrats, are a beautiful sight, aren't they Donald?  Looks like we're gonna…"
alvas5,"@realDonaldTrump Vote for anyone but Trump the dictator, narcissist, actor"
rochelle3276,@realDonaldTrump You said that almost 4 years ago.
hesslop39,"@realDonaldTrump He’s in better shape than you, and he didn’t just have to spend multiple days in the hospital. Als… https://t.co/ydxx5JcHeM"
WardpamPam,@realDonaldTrump You’ve had 4 years and offered nothing. #VoteBiden #VoteThemAllOut https://t.co/VN5gtFkH4g
harms_dominic,RT @judgeyourself99: @realDonaldTrump BUT HIS EMAILS https://t.co/GRFj338KS8
matalongos,@realDonaldTrump you just retweeted yourself
donnaje07071945,"RT @glamelegance: @realDonaldTrump 216K Americans died because of Donald Trump’s lies, negligence and incompetence. Is that what “Make Amer…"
CoxTake,@realDonaldTrump Made-up Biden policies. False jobs numbers. A wrong timeline about Minnesota unrest. Repeat inaccu… https://t.co/TYcjUseu2Z
Positivenergy19,@realDonaldTrump 🤣🤣🤣🤣🤣🤣
slu94,@realDonaldTrump https://t.co/H7cUSkCAQ4
MamaBeth6729,@realDonaldTrump You might get more votes if this were true. Let's see the plan.
broppai,@realDonaldTrump isn’t he... not that much older than you?
AndrewSB49,RT @scientificrealm: @realDonaldTrump https://t.co/xQBECjHMxG
lilyusy,RT @LindaHigggins: @realDonaldTrump Fixed this for you so feel free to retweet! https://t.co/NWgw2ZuGDf
CoopJerr,@realDonaldTrump Quit begging!!!
kaur_jeeto,@realDonaldTrump https://t.co/rFgYxuo2T7 😜EMAIL FROM GUILIANI IS FORGED 😁@GOP @GOPChairwoman @charliekirk11
JackieWhitlock5,RT @scientificrealm: @realDonaldTrump https://t.co/k3dDIjCVDm
Nanamyra3,RT @HalfwayPost: @realDonaldTrump John Bolton Claims Trump’s Daily Hair And Makeup Routine Takes 2 Hours https://t.co/yEiNjVc4FH
53_benn,"@realDonaldTrump Liar, then why have you not come  up with something in 4 years"
GailGrumolo,@realDonaldTrump Biden is not eliminating. Just more Bullshit
BeaumanTravis,@realDonaldTrump Cunningham needs to drop out before his situation becomes more problematic.
SusanDGuy1,@realDonaldTrump  is encouraging the GOP to continue trying to cheat.. https://t.co/4k25lcHx0j
Regetom1,@realDonaldTrump #BoycottTrumpTownHall
AndrewSB49,RT @scientificrealm: @realDonaldTrump https://t.co/MPd977L7m9
AmeriCANuck,"@realDonaldTrump Yeah, we heard this fairy tale before...still waiting... https://t.co/XH031WlrKZ"
CaPrincessSarah,@realDonaldTrump would be doing Pennsylvania a real favor by NEVER going back there. Trump should go to prison for… https://t.co/P25r53NFMK
Ryszard09245962,@realDonaldTrump Simply outrageous. It’s just disgraceful for @POTUS to post publicly such a photo. Use arguments not this....
Fuegs,"@realDonaldTrump We Know, #TrumpHealthcare: Coming in two weeks, soon as your #TaxAudit is over.… https://t.co/TRC1bbv1fx"
NABE_wake_up,@realDonaldTrump THE BEST PRÉSIDENT EVER https://t.co/YeYfqPMt0x
signals_stock,@realDonaldTrump https://t.co/zxHSvxY8jU
sadoski_girl,"@realDonaldTrump Says the draft dodger  that allows bounties on soldiers, retaliates against a war hero, fired a Na… https://t.co/UyGYMj4V6m"
lbrownstein,@realDonaldTrump It's true that the virus hasn't killed all of us yet in the US
StjGram,@realDonaldTrump You have no plan!!! #BidenHarris2020
JackieK22431917,@realDonaldTrump People are coming out in droves to vote you out so America can be great again. BYE BYE
TrumpVirusUS1,@realDonaldTrump https://t.co/HFx7DQMrc0
oswaldsantos69,@realDonaldTrump SUPER SPREADER IN CHIEF ITS RUNNING OUT OF TIME AND OUT OF MONEY. https://t.co/oLA6aalMr9
sueshaw0,@realDonaldTrump https://t.co/1VQO12So2D
Ompraka51841651,@realDonaldTrump Welcome Mr President Trump
TexasEEOLaw,"@realDonaldTrump In other words, you are encouraging cheating on the part of the California @GOP??"
Amy_A_AR,@realDonaldTrump Deranged. You are DERANGED.
MushRio,@realDonaldTrump Also can you have the military blow up Xi Jinpings palace inside China with missiles. 😀
tomconn94715127,@realDonaldTrump No it’s not. When will you stop lying?
jojozipp,@realDonaldTrump You had 4 years to do that.
IIBianka,RT @ScottPresler: @realDonaldTrump We have until October 19th to register new voters in Pennsylvania.   We win PA &amp; Donald Trump is re-elec…
Facuems,"@realDonaldTrump Dude, wtf?"
AHavrilla,"@realDonaldTrump Still no healthcare plan, huh?!?"
briansantamaria,@realDonaldTrump ATTN @FBI: this Twitter user is advocating election tampering.
mylittlecorne11,@realDonaldTrump I’m guessing the “Nothing Burger” that your latest FAKE investigation turned out to be...wasn’t th… https://t.co/X3iqEaVlbY
AuBadge,@realDonaldTrump https://t.co/3Cy5K2KQtD
yunomi4sure,@realDonaldTrump Yep. Show us you were wary enough to not drink the trump kool aid or strong enough to overcome the effects if you did.
DontAskNotWorth,@realDonaldTrump Sad.
thearischneider,@realDonaldTrump Dude can you can barely lift a golf club this man bikes circles around your fat ass
ManOfMystery15,@realDonaldTrump Cute. Not true but cute. The photo is part of the system you will be learning about from the “ ins… https://t.co/slLqDB5zG5
GrifterHunter,@realDonaldTrump This is what the President thinks about seniors.
JEDI1978_,@realDonaldTrump You Lie
arteshtaran2020,@realDonaldTrump Shame on all iran terrorists regime lobbies @NIACouncil @NegarMortazavi #cnn #EuropeanUnion https://t.co/I6EhkGL50G
HufManHufAmazin,@realDonaldTrump Dont worry about GA...we will make you win...
TonyShnark,@realDonaldTrump You already have. Many times over.
BlueWave_Lady,"@realDonaldTrump There’s that word again... will, will, will.... but you have NOTHING. Just empty words and more BR… https://t.co/YmBhtrhUaN"
TheSheriffOunce,@realDonaldTrump #MAGA #FuckBiden2020
agostmoon,@realDonaldTrump So mature.
JamesFerro11,@realDonaldTrump God Bless you Sir
kristyeh1,@realDonaldTrump 🖕🖕
anjohne09,@realDonaldTrump https://t.co/yQQd1QEY6B
NicolasMelian4,@realDonaldTrump @FaraonaArgenta 😀😃😄😅😅🤣🤣🤣😂😂😂😂😂😂😂😂 Felicitaciones Señor Presidente Donald Trump 👏👏👏👏👏👏👏👏👏I LOVE MR PRESIDENT ❤
AlexKindred,"@realDonaldTrump Where is your plan?  Or are you all mouth &amp; no action, as usual?"
KGibbons83,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
NafeHoward,RT @joelockhart: @realDonaldTrump Every word a lie. Well played lie master
MinaStellor,@realDonaldTrump Vote now? Are you aware that many people in Georgia have been standing in line for hours to vote? Why make it so difficult.
ts11re,@realDonaldTrump Aren’t you the one who pulled out of @who?
NormanClarR,"@realDonaldTrump Trump's irresponsibility &amp; incompetence is killing America, 210,000 &amp; counting. Trump's legacy as… https://t.co/QrWeUqJ5ui"
Nanamyra3,"RT @Dori_TalkNation: @realDonaldTrump ""States removed 17 million voters from rolls in two years, government agency says. Legal challenges o…"
NavyVeteran15,"@realDonaldTrump Trump never was holding them up, so he can't let them down. Police need less duties not more. VOTE BIDEN"
kcelmer2,@realDonaldTrump https://t.co/YK539V13SW
Tracybr888,@realDonaldTrump https://t.co/iDd4SXOj2F
nora_byars,"RT @HKrassenstein: @realDonaldTrump Last week didn't you reject the Democrat's ""BIG"" stimulus plan?"
artmherman,@realDonaldTrump What a Fucken Baby!
wisdom60,@realDonaldTrump You will need the senior vote to get 4 more years. You think they will find this cute?  Grow up.
PSBFAN1991,@realDonaldTrump Real mature.
will6848,@realDonaldTrump Are you stand up for our the 1% people at your rallies are just Drinking your Kool-Aid
AdriannaMarquis,@realDonaldTrump Thanks for getting covid with me.  I hate being alone.
Imhisnonna,RT @OwnRules: @realDonaldTrump Trump 2020 platform: https://t.co/0Wm3rpdpw5
ESPNgoddess,"@realDonaldTrump I wish our architecture looked like Dubai's. Why can't I feel like that. Infrastructure, let'z goooooooooooo"
Mickster0507,@realDonaldTrump Says the tax loophole toddler in charge...
KimMDonohue,@realDonaldTrump Best kept secret in the universe.
Cayway211,@realDonaldTrump https://t.co/hWbcARySML
change_agent4,"@realDonaldTrump They are voting now, in record breaking numbers. But I don’t think they’re voting for who you thin… https://t.co/4dKJTHIsHE"
PoloPersonGwen,RT @outofcontroljb: @realDonaldTrump Well this is embarrassing https://t.co/yp8QGlBgP1
catboerner,@realDonaldTrump Prove it. Put up or shut up.
Tava9207,"@realDonaldTrump prove it... but you can’t. In over 3 yrs, you have not come up with a plan to repeal and replace. 🤡"
HPapin,RT @vertigo7804: @realDonaldTrump ‘Delusions of grandeur’ https://t.co/GZfvTDKt8A
Rawr_79,@realDonaldTrump You are CURRENTLY the OLDEST POTUS ever!  And Biden is but THREE years older than you are.  So may… https://t.co/xPBvmXG6Ak
jameshu88903233,@realDonaldTrump https://t.co/FlyE50sbzz
therelpubliciu1,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
TerryFagan7,@realDonaldTrump V.O.T.E. Biden!👍
JabarMel,@realDonaldTrump the American people need help!!! This is your tweet you replied to me in August!!! Please do somet… https://t.co/OgjmdCl2My
askmisspatience,"RT @MeidasTouch: @realDonaldTrump We are looking for 1,000 patriots to chip in $3.50 before midnight. We are up with a six-figure two week…"
TomSpellacy,@realDonaldTrump Lol 😂
4D494B45,"@realDonaldTrump Why the ass dick is he saying Make America Great Again still? Does that mean he failed to do so, b… https://t.co/7JFg8NsM9g"
thecooknowl,@realDonaldTrump @POTUS You are the MF‼️
AndrewSB49,RT @HKrassenstein: @realDonaldTrump Christopher Columbus was a murderer who stole land from the Native Americans.  It’s not a happy day for…
nora_byars,"RT @MontyBoa99: @realDonaldTrump You might have picked a better time to get on Mitch's case, POUTS.  Say, about 4 months ago.   Somehow, it…"
kmsmulhall,@realDonaldTrump Why do we have to make America great AGAIN? Who made it un-great?  I am so confused  You’re saying… https://t.co/LnOT2BS6aq
ParksBuilder,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
FiestaCamel,@realDonaldTrump Lemme see you ride a bike for more than a block without getting winded
DinaStanfl,RT @soloyochapin: @realDonaldTrump I have waited my whole life to vote! I was #undocumented and I used to stutter like @JoeBiden I didn't h…
botoups,@realDonaldTrump By voting you out of office.
mccall3362,@realDonaldTrump promises made promises kept?  WTH are you hiding? https://t.co/aqKErgtOY1
NafeHoward,"RT @waltshaub: @realDonaldTrump You have filed a brief asking the court to take away coverage of preexisting conditions, you liar."
Jooheons_hag,RT @smc429: @realDonaldTrump Where is this restaurant and how do we frequent it!? https://t.co/IGgJ3AiOFG
BellaDonnaNicks,RT @scientificrealm: @realDonaldTrump https://t.co/5JW9EVONjm
Deridiculus1,"RT @TVietor08: @realDonaldTrump Sick burn, sir! Let those old farts know that their time is up."
SmokestackLig13,@realDonaldTrump So illegal activity or shenanigans by GOP is ok - that is not electoral fraud? Even your lover boy… https://t.co/jgbfaj61dr
AnnNonimouse,@realDonaldTrump “Accuse the other side of that which you are guilty.”
sandiesie,@realDonaldTrump Since you are immune! Go visit the Covid patents! Go to the Covid Floor
golfinshorts,@realDonaldTrump I did.  And I’m afraid I’ve got some bad news for you...
thumihh,@realDonaldTrump #TrumpGraveDancer https://t.co/TQpzPP4SnF
NoelHansen74,@realDonaldTrump Your desperation makes me smile.
AndrewSB49,RT @HKrassenstein: @realDonaldTrump HAPPY INDIGENOUS PEOPLE’S DAY!
tams662,@realDonaldTrump When is going to get through that orange head of yours that you’ve had almost 4 years to do THAT??!!  #VoteBiden
Deborah98022638,@realDonaldTrump Grow up
PoloPersonGwen,RT @outofcontroljb: @realDonaldTrump Well this is embarrassing https://t.co/uwNCF5WC97
Tiredoftrump777,@realDonaldTrump POTUS as you should have said. I love cheating. Try it you’ll like it. Stealing ballots from voter… https://t.co/B96FtFwFVI
meshel_c,@realDonaldTrump They've had ten years. You've had four. Where's the plan? #GOPObstructionists #VoteBiden #VoteBlue
Angelica563,"@realDonaldTrump It's been 4 years, what were you waiting for? #BidenHarris2020"
SSHobbs,"@realDonaldTrump You must have misunderstood, the #GOPComplicitTraitors are trying to cheat in CA."
rbaconII,@realDonaldTrump TheBest https://t.co/9YVg0se2Jh
jpm_ml,RT @thenank001: @realDonaldTrump I smell desperation. https://t.co/eYDsT6XJna
Libslady,RT @realPaulShea: @realDonaldTrump https://t.co/0mcTqX5rPd
grumbletoniantx,@realDonaldTrump This is a lie.
vernonmgibbs,@realDonaldTrump No they won’t
logica1111,@realDonaldTrump  20 DAYS TO KICK YOUR  .SS  TO THE MOON. https://t.co/bOaDwVF9nV
moom2326,@realDonaldTrump 👇 https://t.co/FxueFOBGj0
Nanamyra3,RT @lagloriacubano: @realDonaldTrump https://t.co/HceQ4qDR9n #TrumpIsALaughingStock #TrumpFailedAmerica #BidenHarrisToSaveAmerica
Kylito65,@realDonaldTrump https://t.co/cA0dXDE6kw
kappadelta06,@realDonaldTrump @JoeBiden https://t.co/SzQ1dOe4YE
e2121bev99,"@realDonaldTrump  there she is donny, there she is ! https://t.co/DgDjb8q9cg"
RotmanMichael,@realDonaldTrump You said that 4YEARS AGO! Still waiting
project_pat6,@realDonaldTrump You’re literally 74. 3 year difference.
