users,text
artim942,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
_suecasa,@JoeBiden @KamalaHarris - I hope the very first thing you do in office is help the immigrant families still in cage… https://t.co/pLZeST7JYC
theRealTrueFan,@JoeBiden Wheres hunter?
BOBJOHN06654018,"@JoeBiden Where's Hunter now, looks like you two are in a  bit of trouble. Now sure you will even be on the ticket come Nov 3rd."
Thomas4prezz,"@JoeBiden If you minus the cars, there is only tops 100 people there."
TheAzzolini,@JoeBiden Destroying Obamacare is better than destroying America. #Trump2020
justcallmetodd,@JoeBiden The cost of healthcare has gone through the roof since Obama care was enacted.  Obama and liar Joe probab… https://t.co/UIbTzEcZCS
gladiator692296,@JoeBiden No country for sleepy joe
JanTate18324711,"RT @yusufneedsarest: @JoeBiden No, I want my goddamn handouts just like the banks and the billionaires get, I paid for them all my life, ev…"
SpencerKarter,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
mdsaifurpintors,"@JoeBiden Are you looking for Email Signature, Flyer, Business Card, Brochure, Social Posts &amp; Banners, Background R… https://t.co/rlaoBesiAk"
anonymo46955539,@JoeBiden Hey Joe care to make A statement about the emails involving Ukraine? Or how about the Seal Team 6 recording?
cryan_tom,@JoeBiden Yes Joe President got all
Tomjohn06633160,@JoeBiden Thanks for talking to us like we are stupid.
woodelljoe,@JoeBiden Go to bed
Cindy63306167,RT @Bandislife2004: @JoeBiden #TrumpLiedPeopleDied @POTUS #TrumpKnewVoteBlue #TrumpLied218KAmericansdied #BidenHarrisToSaveAmerica @TeamJoe…
DJCSTB,@JoeBiden Vote early !
delmac_rls,@JoeBiden @davidhogg111 @AMarch4OurLives 18-24 voters are down- I know it's early but please get out there and vote… https://t.co/J3k2tmvBUn
This_Harmony,"@JoeBiden Now, go take a nap Joe!"
tauqeer_2101,@JoeBiden https://t.co/GjJ9ML2vE5
ppddvv1973,@JoeBiden Aff. Só a nata do lixo. Tá parecendo aqui no Brasil.
Woodywood144,@JoeBiden https://t.co/6HnuGDaBT8
SouthernKat60,@JoeBiden #ProtectOurHealthcare #ProtectPreexistingConditions #ProtectACA #BidenHarrisLandslide2020
thisamerican_bt,@JoeBiden Why did you call a lid?
LebelShelley,@JoeBiden https://t.co/ISNAng3mKV
NeverGiveIn123,"@JoeBiden This is a man who cares about everyone around him! A responsible President; No: 46, is exactly what the g… https://t.co/fAd50RaJ5j"
AMckarter,@JoeBiden had MORE than enough time to change his stance on policies.  We told him to earn our votes.  He did not.… https://t.co/Yg7oxUHqae
MrReali39272354,@JoeBiden Why did you lie about Hunter?
Anna22451864,@JoeBiden 200000000😂🤣
amarino68,@JoeBiden Where’s Hunter? #WheresHunter
erickhendrick12,"@JoeBiden @SenKamalaHarris thank you for having a plan, thank you for listening to all members of this country, tha… https://t.co/zbGSn4brS9"
timmakok,@JoeBiden  Naaber l'aan g@t?   Bunu Biden'e çeviri yapana bi çay.
JHollowdagod,@JoeBiden You’ll do what the system allows you to do
lovesxy2010,@JoeBiden Where is Hunter?
Realwoman4Trump,@JoeBiden Obamacare is dead
RealSteveDorman,@JoeBiden I will vote for #Trump2020 this I promise.  All of my family in Virginia is voting TRUMP!
FerminBello1,"@JoeBiden yes, he will!  great!  less burden reduces fiscal gap, consequently it discusses and forces the pharmaceu… https://t.co/KMsY9tMMqq"
